,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,hour,minute
128,5,0,1,2,0,0,3,3,7,6,5,7,0,0,0,2,8,1,0,9,1,0,1,2,5,7,18,0
129,4,4,0,4,1,0,3,5,7,2,5,3,0,3,0,2,8,1,0,2,2,1,1,2,6,10,21,30
130,4,2,1,4,2,0,3,5,6,2,3,3,0,0,3,2,8,1,0,2,1,1,0,2,5,0,7,18
131,1,0,1,4,2,4,3,5,6,1,5,1,0,3,0,2,2,1,0,2,3,2,5,3,5,12,22,0
132,5,3,1,4,4,0,3,1,9,2,5,7,3,3,3,2,8,0,0,3,2,0,0,1,0,2,17,22
133,0,0,1,2,0,14,3,5,7,1,5,7,0,0,3,2,1,1,0,4,0,0,3,2,5,2,14,50
134,4,0,1,4,2,8,3,5,7,2,5,1,0,0,3,2,2,1,0,2,0,1,0,2,5,9,11,59
135,2,0,1,4,0,0,3,5,6,2,5,7,0,3,3,2,2,0,0,2,3,2,5,3,5,10,13,29
136,5,4,0,4,1,9,3,3,12,6,5,1,0,0,0,2,8,5,0,2,2,1,0,2,5,10,22,40
137,2,4,0,1,3,14,3,5,1,6,5,1,0,0,0,2,8,0,0,3,3,2,5,3,5,0,21,17
138,3,3,1,1,2,0,3,1,9,2,5,0,0,0,3,2,2,0,0,2,2,1,4,2,5,7,14,20
139,4,1,1,1,1,10,3,3,6,6,5,7,0,0,3,2,8,0,0,2,0,1,0,2,5,10,18,49
140,3,3,1,4,1,0,3,5,7,2,5,1,0,0,3,2,8,1,3,7,0,1,1,2,5,3,13,10
141,1,2,1,1,2,14,3,5,6,1,5,7,3,3,3,4,8,1,0,2,1,0,3,2,5,0,14,11
142,0,0,1,2,2,5,3,5,6,2,5,0,0,0,0,2,8,0,0,7,3,2,5,3,5,1,23,3
143,6,2,1,4,1,0,3,5,6,2,5,0,0,0,3,2,8,1,0,2,3,2,5,3,5,5,16,47
144,0,4,0,2,1,0,3,5,9,2,5,0,0,0,0,2,8,3,0,7,0,1,0,2,5,4,20,8
145,1,0,1,2,2,3,3,5,7,2,5,4,0,0,3,2,8,1,0,2,0,1,1,2,5,1,9,4
146,1,4,0,1,0,4,3,5,6,1,5,5,0,0,3,2,8,1,1,7,0,1,1,2,5,12,9,45
147,5,0,1,1,4,7,3,1,6,2,6,1,0,3,0,2,8,1,1,2,0,1,0,2,5,12,22,15
148,6,0,1,1,0,0,3,3,2,2,3,1,0,0,3,2,2,1,0,9,3,2,5,3,5,16,18,25
149,6,3,1,4,2,8,3,2,6,2,5,1,0,0,3,2,2,1,0,2,3,2,5,3,5,1,17,10
150,4,0,1,4,2,11,3,5,7,0,5,7,3,0,0,2,2,1,0,2,3,2,5,3,5,3,22,5
151,0,2,1,5,2,0,3,1,9,2,5,0,0,0,3,2,8,1,0,2,0,1,0,1,5,0,6,45
152,5,0,1,2,2,7,3,5,6,1,5,0,0,0,3,2,8,1,0,3,2,1,3,1,6,12,17,35
153,4,1,1,4,2,5,3,5,9,4,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,12,7,50
154,2,0,1,2,1,5,3,5,7,4,5,1,0,0,3,2,8,1,1,2,3,2,5,3,5,5,3,15
155,0,4,1,4,0,14,3,5,9,6,5,7,0,0,3,7,6,1,0,2,3,2,5,3,5,4,11,50
156,5,2,1,4,0,5,3,1,7,2,5,1,0,0,0,2,8,1,0,2,3,2,5,3,5,1,19,0
157,5,0,1,0,0,0,3,0,9,4,3,7,0,0,3,2,8,2,1,2,3,2,5,3,5,16,8,55
158,5,0,1,4,0,8,3,5,6,4,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,10,18,5
159,4,1,1,0,5,3,3,1,2,4,5,0,0,0,2,0,2,1,0,2,0,1,0,2,5,9,22,25
160,5,1,1,4,1,11,0,5,9,2,5,1,0,0,3,2,8,3,0,2,2,1,2,2,5,2,14,38
161,1,0,1,4,0,7,3,5,1,6,5,1,0,0,0,2,8,1,0,2,3,2,5,3,5,12,20,20
162,1,2,1,4,1,5,3,5,6,2,5,7,0,0,3,2,8,1,0,2,0,1,0,0,5,1,10,42
163,5,1,1,1,1,9,3,1,7,2,5,7,0,0,0,2,8,1,0,2,2,0,4,2,5,0,2,19
164,2,4,1,4,3,0,3,0,7,4,5,7,0,0,3,2,8,1,1,2,1,0,1,2,5,12,17,7
165,5,1,1,2,1,0,3,0,9,4,3,1,0,0,0,2,8,1,0,3,0,0,1,2,5,1,19,0
166,4,0,1,4,1,4,3,5,6,4,5,1,0,0,3,2,8,1,1,2,3,2,5,3,5,10,12,10
167,0,1,1,4,0,0,0,3,9,6,5,0,0,0,3,2,2,1,0,2,0,1,4,2,5,10,18,27
168,4,3,1,4,2,5,3,5,2,2,5,7,0,0,3,2,8,2,0,9,0,1,1,2,5,11,8,45
169,4,3,1,4,2,7,1,1,6,2,7,1,2,0,2,2,8,0,3,2,0,1,0,2,5,3,23,36
170,6,0,1,4,3,6,3,3,9,6,5,1,0,3,3,5,8,0,0,1,0,1,0,2,5,16,6,53
171,3,1,1,4,3,0,3,5,7,4,5,1,0,0,3,2,8,1,0,4,0,0,2,2,5,13,18,30
172,6,1,1,1,0,7,3,1,5,2,7,1,0,3,3,4,8,1,0,2,2,1,1,2,5,1,9,0
173,6,4,0,4,1,0,3,2,7,4,5,1,0,0,3,2,2,1,0,2,3,2,5,3,5,1,10,40
174,1,0,1,4,1,0,3,5,9,6,3,7,0,0,3,2,8,1,0,2,1,0,2,2,5,10,20,15
175,6,0,1,2,2,14,3,1,7,2,0,7,0,0,3,2,8,1,0,2,3,2,5,3,5,10,7,19
176,2,0,1,4,2,0,1,3,7,2,5,3,0,0,0,2,2,2,5,1,2,0,1,2,5,1,22,17
177,0,1,1,1,4,5,0,5,9,6,5,1,0,0,3,2,8,2,0,2,3,2,5,3,5,10,14,30
178,3,2,1,4,3,0,3,5,6,4,5,0,0,3,3,2,8,1,0,3,3,2,5,3,5,1,13,0
179,0,4,1,4,1,11,3,1,6,2,6,1,3,0,0,2,8,1,0,2,3,2,5,3,5,2,18,40
180,1,0,1,1,2,9,3,5,7,2,5,0,0,0,3,2,8,1,0,6,0,1,0,1,5,10,16,10
181,5,2,1,4,2,8,3,0,6,0,5,7,0,0,0,2,8,2,0,3,3,2,5,3,5,10,19,41
182,5,3,1,4,2,5,3,5,7,2,5,0,0,0,0,2,8,1,0,2,2,0,1,2,6,4,1,18
183,2,1,1,2,2,5,3,5,9,2,5,0,0,0,3,2,8,2,0,2,3,2,5,3,5,1,16,41
184,2,1,1,4,3,10,3,2,6,2,5,1,0,0,3,2,8,1,1,2,1,0,0,2,5,0,16,35
